,Artist,Album,style,genres,labels
0,Alex Coulton,Bleep Sequence _ Tension,"['Bass Music', 'Techno', 'House', 'UK Garage']",['Electronic'],Mistry
1,Alex Coulton,Recall _ Wiretap,"['Dubstep', 'Experimental']",['Electronic'],Tempa
4,Anthony Naples,Fog FM,"['Techno', 'Tech House', 'House', 'Ambient', 'Deep House']",['Electronic'],ANS
5,Anthony Naples,Chameleon,"['Ambient', 'Downtempo', 'Chillwave']",['Electronic'],ANS
6,Silas & Snare,PRESSURE,['Bass Music'],"['Electronic', 'Hip Hop']",Kaizen
7,Anunaku & DJ Plead,032,"['Breakbeat', 'Tribal', 'Techno']",['Electronic'],AD 93
8,Mars89,End of the Death,"['Industrial', 'Dub']",['Electronic'],Bokeh Versions
9,Mars89,Lucid Dream EP,"['Experimental', 'Dancehall']","['Electronic', 'Reggae']",Bokeh Versions
10,Asusu,Hallucinator _ Sendak,"['Electro', 'Experimental']",['Electronic'],Livity Sound
11,Atoloi,CuraVoceScura,"['Tribal', 'Techno', 'Acid', 'Downtempo']",['Electronic'],Details Sound
12,Atoloi,Papier d'Armenie,"['Techno', 'Ambient', 'Experimental']",['Electronic'],Aura Dinamica
13,Seven Sisters,Pursuit Ep,"['Abstract', 'Ambient', 'Deep Techno', 'Noise', 'IDM']",['Electronic'],Konglomerat
14,At One,Rainfall In Dub,"['Breakbeat', 'Deep House', 'Hip Hop']",['Electronic'],Big Cat
15,Palms Trax,Equation EP,['House'],['Electronic'],Lobster Theremin
16,Batu,Marius EP,"['Techno', 'House', 'Ambient']",['Electronic'],Hessle Audio
17,Batu,"Sharpen, Moving","['Techno', 'Dubstep']",['Electronic'],Timedance
18,Batu,Batu - Numen _ Cazz,['Techno'],['Electronic'],Hotline Recordings
19,Batu,Bleeper Feed _ April These,['Techno'],['Electronic'],Dnuos Ytivil
20,Batu,Murmur,['Techno'],['Electronic'],Timedance
21,Batu & Lurka,Curved _ Bambounou Hyper Street Remix,"['Experimental', 'Techno', 'House']",['Electronic'],Fringe White
22,Reedale Rise,Eternal Return,"['Electro', 'Techno', 'Acid']",['Electronic'],Frustrated Funk
23,Big Hands,Ossario,"['Techno', 'Deep Techno', 'Leftfield']",['Electronic'],Blank Mind
24,Big Hands,Arcane Mosaics,"['Grime', 'Dub Techno', 'Breaks', 'Leftfield']",['Electronic'],Beat Machine Records
25,Big Hands,Lakamha,"['Illbient', 'Leftfield', 'Techno']",['Electronic'],Oscilla Sound
26,Borai,Borai - Anybody From London EP,"['Breakbeat', 'Jungle', 'Techno']",['Electronic'],Hotline Recordings
27,Breaka,004 - Rory's Theme _ Puffer Jackets,"['Bass Music', 'Deep House', 'Breaks']",['Electronic'],Holding Hands
28,Buttechno,Omnia Vanitas,"['Techno', 'Jungle', 'Minimal', 'Leftfield', 'Thug Rap']","['Electronic', 'Hip Hop']",Lowlife Cartel
29,Buttechno,Badtrip (TRP027),"['Techno', 'Industrial']",['Electronic'],трип
30,Cabasa,Uncle Sigmund's EP,"['Breaks', 'House', 'Ambient']",['Electronic'],Eclipse Tribez
31,Cabasa,Mail Sent EP,"['Breaks', 'Techno', 'Ambient']",['Electronic'],Eddy Larkin
32,Cassius Select,Essence,['House'],['Electronic'],Accidental Jnr
33,Cassius Select,Slang,['Dubstep'],['Electronic'],Not On Label
35,Chaos In The Cbd,Orange Blank,"['House', 'Balearic', 'Acid House']",['Electronic'],In Dust We Trust
36,Chaos In The Cbd,816 To Nunhead _ 78 To Stanley Bay,['House'],['Electronic'],Amadeus Records (2)
