,Artist,Title,Album,Path,OK/KO,Style,Genres,Labels
39,DJ Heartstring,I Wish U Could Stay,Sensual Hits Volume 2,/Volumes/TOSHIBA/Rekordbox_database_selected/Dj Heartstring - I Wish U Could Stay.mp3,OK,error,error,error
58,Al Wootton,Every Tongue Confess,Every Knee Shall Bow / Every Tongue Confess,/Volumes/TOSHIBA/Rekordbox_database_selected/Al Wootton - Every Tongue Confess.mp3,OK,error,error,error
101,At One,Versa - Rainfall In Dub,Rainfall In Dub,/Volumes/TOSHIBA/Rekordbox_database_selected/At One - Rainfall In Dub - 01 Versa - Rainfall In Dub.mp3,OK,error,error,error
103,At One,Versa - Road To Righteousness,Rainfall In Dub,/Volumes/TOSHIBA/Rekordbox_database_selected/At One - Rainfall In Dub - 02 Versa - Road To Righteousness.mp3,OK,error,error,error
114,Batu,SYX,"Sharpen, Moving",/Volumes/TOSHIBA/Rekordbox_database_selected/Batu - SYX.mp3,OK,error,error,error
152,Babe Roots feat Kojo Neatness,Rawness,Be Still / Rawness,/Volumes/TOSHIBA/Rekordbox_database_selected/Babe Roots feat Kojo Neatness - Be Still - Rawness - 02 Rawness.mp3,OK,error,error,error
154,BABE ROOTS,Babe Roots Feat. Danny Coxson - World Struggle,MUSIC MISSION EP,/Volumes/TOSHIBA/Rekordbox_database_selected/BABE ROOTS - MUSIC MISSION EP - 02 Babe Roots Feat. Danny Coxson - World Struggle.mp3,OK,error,error,error
156,BABE ROOTS,Babe Roots Feat. Galas - Music Mission,MUSIC MISSION EP,/Volumes/TOSHIBA/Rekordbox_database_selected/BABE ROOTS - MUSIC MISSION EP - 03 Babe Roots Feat. Galas - Music Mission.mp3,OK,error,error,error
158,Babe Roots feat Kojo Neatness,Be Still feat. Kojo Neatness & E.Pertoldi,Be Still / Rawness,/Volumes/TOSHIBA/Rekordbox_database_selected/Babe Roots feat Kojo Neatness - Be Still - Rawness - 01 Be Still feat. Kojo Neatness & E.Pertoldi.mp3,OK,error,error,error
204,"Brooke Candy, La Zowi, Enzo Langston, Yung Beef, Rue Maneli, Bootychaaain, Sickboyrari",Que Te Gusta,Dimen5ión,"/Volumes/TOSHIBA/Rekordbox_database_selected/Brooke Candy, La Zowi, Enzo Langston, Yung Beef, Rue Maneli, Bootychaaain, Sickboyrari - Dimen5ión - 02 Que Te Gusta.mp3",OK,error,error,error
206,"Brooke Candy, La Zowi, Enzo Langston, Yung Beef, Rue Maneli, Bootychaaain, Sickboyrari",Traviesa,Dimen5ión,"/Volumes/TOSHIBA/Rekordbox_database_selected/Brooke Candy, La Zowi, Enzo Langston, Yung Beef, Rue Maneli, Bootychaaain, Sickboyrari - Dimen5ión - 04 Traviesa.mp3",OK,error,error,error
208,"Brooke Candy, La Zowi, Enzo Langston, Yung Beef, Rue Maneli, Bootychaaain, Sickboyrari",Pensamientos,Dimen5ión,"/Volumes/TOSHIBA/Rekordbox_database_selected/Brooke Candy, La Zowi, Enzo Langston, Yung Beef, Rue Maneli, Bootychaaain, Sickboyrari - Dimen5ión - 06 Pensamientos.mp3",OK,error,error,error
210,"Brooke Candy, La Zowi, Enzo Langston, Yung Beef, Rue Maneli, Bootychaaain, Sickboyrari",Dimension Ft. La Zowi,Dimen5ión,"/Volumes/TOSHIBA/Rekordbox_database_selected/Brooke Candy, La Zowi, Enzo Langston, Yung Beef, Rue Maneli, Bootychaaain, Sickboyrari - Dimen5ión - 05 Dimension Ft. La Zowi.mp3",OK,error,error,error
