,Artist,Album,Path,Style,Genres,Labels
2,Wsdm022,Piezo Lsd Superhero (All Files),/Volumes/SANDISK1/Contents/Wsdm022/Piezo Lsd Superhero (All Files),error,error,error
3,rkeat_,rkeat - the changes ep,/Volumes/SANDISK1/Contents/rkeat_/rkeat - the changes ep,error,error,error
34,Cassius Select,UnknownAlbum,/Volumes/SANDISK1/Contents/Cassius Select/UnknownAlbum,error,error,error
46,La Zowi_Paul Marmota,Élite,/Volumes/SANDISK1/Contents/La Zowi_Paul Marmota/Élite,error,error,error
47,La Zowi_Pablo Chill-E_Xander,Élite,/Volumes/SANDISK1/Contents/La Zowi_Pablo Chill-E_Xander/Élite,error,error,error
55,Batenko,FBN005 - Locked Up,/Volumes/SANDISK1/Contents/Batenko/FBN005 - Locked Up,error,error,error
58,Gavnlig,FBN005 - Locked Up,/Volumes/SANDISK1/Contents/Gavnlig/FBN005 - Locked Up,error,error,error
59,PanicMan,FBN005 - Locked Up,/Volumes/SANDISK1/Contents/PanicMan/FBN005 - Locked Up,error,error,error
60,"Francois Dillinger, The Droid",FBN005 - Locked Up,"/Volumes/SANDISK1/Contents/Francois Dillinger, The Droid/FBN005 - Locked Up",error,error,error
65,Whitearmor,Feelings Eternal,/Volumes/SANDISK1/Contents/Whitearmor/Feelings Eternal,error,error,error
68,Ebb ft. Akcept,Fox & Hound 002,/Volumes/SANDISK1/Contents/Ebb ft. Akcept/Fox & Hound 002,error,error,error
92,Krikor,_CÉFRAN RIDDIMS_ 001,/Volumes/SANDISK1/Contents/Krikor/_CÉFRAN RIDDIMS_ 001,error,error,error
96,Lamont,UnknownAlbum,/Volumes/SANDISK1/Contents/Lamont/UnknownAlbum,error,error,error
98,Unknown Artists,Gomma Piuma,/Volumes/SANDISK1/Contents/Unknown Artists/Gomma Piuma,error,error,error
118,Kreggo,Immaginario EP [digital exclusive],/Volumes/SANDISK1/Contents/Kreggo/Immaginario EP [digital exclusive],error,error,error
119,Kreggo,New Age EP [digital exclusive],/Volumes/SANDISK1/Contents/Kreggo/New Age EP [digital exclusive],error,error,error
127,Pangaea,UnknownAlbum,/Volumes/SANDISK1/Contents/Pangaea/UnknownAlbum,error,error,error
133,PEDRO,Na Quebrada (feat. Rincon Sapiência),/Volumes/SANDISK1/Contents/PEDRO/Na Quebrada (feat. Rincon Sapiência),error,error,error
135,Répéter,In Fine Style,/Volumes/SANDISK1/Contents/Répéter/In Fine Style,error,error,error
144,Ploy,Ploy - 'The Edits' DIGITAL,/Volumes/SANDISK1/Contents/Ploy/Ploy - 'The Edits' DIGITAL,error,error,error
148,Various Artists,Inverted Echoes,/Volumes/SANDISK1/Contents/Various Artists/Inverted Echoes,error,error,error
151,Hotline Recordings,Ishan Sound - A Wa Yu Want Ft. Miss Red & Rider,/Volumes/SANDISK1/Contents/Hotline Recordings/Ishan Sound - A Wa Yu Want Ft. Miss Red & Rider,error,error,error
156,Tebra X Double Precision,Jokini,/Volumes/SANDISK1/Contents/Tebra X Double Precision/Jokini,error,error,error
157,JV & Palf,JV & Palf - Wren EP,/Volumes/SANDISK1/Contents/JV & Palf/JV & Palf - Wren EP,error,error,error
167,"King Doudou, Fauna, Dengue Dengue Dengue, Catnap",KD COMPIL 1,"/Volumes/SANDISK1/Contents/King Doudou, Fauna, Dengue Dengue Dengue, Catnap/KD COMPIL 1",error,error,error
170,JLZ,Só para Clubberzinhos Vol.1,/Volumes/SANDISK1/Contents/JLZ/Só para Clubberzinhos Vol.1,error,error,error
180,Camboja,Chasing Drinks And Shadows Ep,/Volumes/SANDISK1/Contents/Camboja/Chasing Drinks And Shadows Ep,error,error,error
183,Yeat,Lyfë,/Volumes/SANDISK1/Contents/Yeat/Lyfë,error,error,error
184,Lava Dome,MAGMA (Donating 100%),/Volumes/SANDISK1/Contents/Lava Dome/MAGMA (Donating 100%),error,error,error
195,Mindcut Music,Mindcut08 - Myler - Dixies James EP,/Volumes/SANDISK1/Contents/Mindcut Music/Mindcut08 - Myler - Dixies James EP,error,error,error
204,Roska,MOM039_ Roska - Jammed EP,/Volumes/SANDISK1/Contents/Roska/MOM039_ Roska - Jammed EP,error,error,error
216,Notte Brigante,NB03t - Simplists - Over SImplifies Reality Lp,/Volumes/SANDISK1/Contents/Notte Brigante/NB03t - Simplists - Over SImplifies Reality Lp,error,error,error
222,DJ Heartstring,Sensual Hits Volume 2,/Volumes/SANDISK1/Contents/DJ Heartstring/Sensual Hits Volume 2,error,error,error
228,Osémio Boémio,Osémio Boémio - DEAD LISBON EP,/Volumes/SANDISK1/Contents/Osémio Boémio/Osémio Boémio - DEAD LISBON EP,error,error,error
229,Osémio Boémio,Osémio Boémio - NO TIME 4 BAD DAYS EP,/Volumes/SANDISK1/Contents/Osémio Boémio/Osémio Boémio - NO TIME 4 BAD DAYS EP,error,error,error
239,"Fred Again.., Lil Yatchy, Overmono",Rekordbox Database,"/Volumes/SANDISK1/Contents/Fred Again.., Lil Yatchy, Overmono/Rekordbox Database",error,error,error
240,TEMPEST,UNFULFILLED EP,/Volumes/SANDISK1/Contents/TEMPEST/UNFULFILLED EP,error,error,error
252,Pugilist,Pugilist & Another Channel - Fight Authority _ S,/Volumes/SANDISK1/Contents/Pugilist/Pugilist & Another Channel - Fight Authority _ S,error,error,error
253,Pugilist,UnknownAlbum,/Volumes/SANDISK1/Contents/Pugilist/UnknownAlbum,error,error,error
259,Dj XNX,STAY FAST VOL. 1,/Volumes/SANDISK1/Contents/Dj XNX/STAY FAST VOL. 1,error,error,error
263,King Doudou,UnknownAlbum,/Volumes/SANDISK1/Contents/King Doudou/UnknownAlbum,error,error,error
264,King Doudou,FRUTA PROHIBIDA,/Volumes/SANDISK1/Contents/King Doudou/FRUTA PROHIBIDA,error,error,error
265,King Doudou,King Doudou Edits Vol. 3,/Volumes/SANDISK1/Contents/King Doudou/King Doudou Edits Vol. 3,error,error,error
266,King Doudou,King Doudou Edits Vol.1,/Volumes/SANDISK1/Contents/King Doudou/King Doudou Edits Vol.1,error,error,error
267,King Doudou,King Doudou Edits Vol.2,/Volumes/SANDISK1/Contents/King Doudou/King Doudou Edits Vol.2,error,error,error
268,King Doudou,Toa,/Volumes/SANDISK1/Contents/King Doudou/Toa,error,error,error
269,Kwasir,STAY FAST VOL. 1,/Volumes/SANDISK1/Contents/Kwasir/STAY FAST VOL. 1,error,error,error
270,Swooh,STAY FAST VOL. 1,/Volumes/SANDISK1/Contents/Swooh/STAY FAST VOL. 1,error,error,error
271,Dj RUSSIAN AIDS & ARCAEDE,STAY FAST VOL. 1,/Volumes/SANDISK1/Contents/Dj RUSSIAN AIDS & ARCAEDE/STAY FAST VOL. 1,error,error,error
272,Teral,STAY FAST VOL. 1,/Volumes/SANDISK1/Contents/Teral/STAY FAST VOL. 1,error,error,error
273,D-Nite,STAY FAST VOL. 1,/Volumes/SANDISK1/Contents/D-Nite/STAY FAST VOL. 1,error,error,error
274,Martinelli & Catib,STAY FAST VOL. 1,/Volumes/SANDISK1/Contents/Martinelli & Catib/STAY FAST VOL. 1,error,error,error
277,XXIII,XXIII __ MEGATRON,/Volumes/SANDISK1/Contents/XXIII/XXIII __ MEGATRON,error,error,error
285,RDL Shellah,Streets,/Volumes/SANDISK1/Contents/RDL Shellah/Streets,error,error,error
295,wen-music,Strings Hoe (Wen refix),/Volumes/SANDISK1/Contents/wen-music/Strings Hoe (Wen refix),error,error,error
297,SlugDown,Sun Box,/Volumes/SANDISK1/Contents/SlugDown/Sun Box,error,error,error
303,Babe Roots feat Kojo Neatness,Be Still _ Rawness,/Volumes/SANDISK1/Contents/Babe Roots feat Kojo Neatness/Be Still _ Rawness,error,error,error
310,DJ BeBeDeRa,Tarraxo Funguiça Das Negras [SP],/Volumes/SANDISK1/Contents/DJ BeBeDeRa/Tarraxo Funguiça Das Negras [SP],error,error,error
323,GUNDAM,UnknownAlbum,/Volumes/SANDISK1/Contents/GUNDAM/UnknownAlbum,error,error,error
332,Loefah,UnknownAlbum,/Volumes/SANDISK1/Contents/Loefah/UnknownAlbum,error,error,error
334,ATRIP,UnknownAlbum,/Volumes/SANDISK1/Contents/ATRIP/UnknownAlbum,error,error,error
341,"Yandrel, PAULISTA GAMES",TEMPO,"/Volumes/SANDISK1/Contents/Yandrel, PAULISTA GAMES/TEMPO",error,error,error
345,RSD,Corner Dub (Blue & Red Mix) _ Pretty Bright Ligh,/Volumes/SANDISK1/Contents/RSD/Corner Dub (Blue & Red Mix) _ Pretty Bright Ligh,error,error,error
349,Somah feat. Rider Shafique,Dark Arts,/Volumes/SANDISK1/Contents/Somah feat. Rider Shafique/Dark Arts,error,error,error
350,Somah feat. Surreal,Dark Arts,/Volumes/SANDISK1/Contents/Somah feat. Surreal/Dark Arts,error,error,error
352,Various,1.NFO Various Artists EP,/Volumes/SANDISK1/Contents/Various/1.NFO Various Artists EP,error,error,error
358,Marçal,Thought Control,/Volumes/SANDISK1/Contents/Marçal/Thought Control,error,error,error
366,Qant,Transgressive EP [VIBEZLTD93002],/Volumes/SANDISK1/Contents/Qant/Transgressive EP [VIBEZLTD93002],error,error,error
368,Truncate,Transients (WEB),/Volumes/SANDISK1/Contents/Truncate/Transients (WEB),error,error,error
369,Treega,Trasher EP,/Volumes/SANDISK1/Contents/Treega/Trasher EP,error,error,error
370,Kaval,TRIBY BALAD,/Volumes/SANDISK1/Contents/Kaval/TRIBY BALAD,error,error,error
374,Johan Platt,VAR1000 - VA #free #download,/Volumes/SANDISK1/Contents/Johan Platt/VAR1000 - VA #free #download,error,error,error
375,Mael,VAR1000 - VA #free #download,/Volumes/SANDISK1/Contents/Mael/VAR1000 - VA #free #download,error,error,error
384,Minor Science,Whities 008 [Ep],/Volumes/SANDISK1/Contents/Minor Science/Whities 008 [Ep],error,error,error
390,"King Doudou, Face-T",Worldwide Arena,"/Volumes/SANDISK1/Contents/King Doudou, Face-T/Worldwide Arena",error,error,error
411,Armin Van Helden,2010 ArMiN VaN HeLdEn MuSiCoLoGy,/Volumes/SANDISK1/Contents/Armin Van Helden/2010 ArMiN VaN HeLdEn MuSiCoLoGy,error,error,error
415,DJ Streaks,djdownloadme.com,/Volumes/SANDISK1/Contents/DJ Streaks/djdownloadme.com,error,error,error
418,Two Shell,UnknownAlbum,/Volumes/SANDISK1/Contents/Two Shell/UnknownAlbum,error,error,error
424,Hodge,Amor Fati (Peverelist remix) _ Tilikum (Hodge re,/Volumes/SANDISK1/Contents/Hodge/Amor Fati (Peverelist remix) _ Tilikum (Hodge re,error,error,error
428,Bruce,Amor Fati (Peverelist remix) _ Tilikum (Hodge re,/Volumes/SANDISK1/Contents/Bruce/Amor Fati (Peverelist remix) _ Tilikum (Hodge re,error,error,error
430,I HATE MODELS,UnknownAlbum,/Volumes/SANDISK1/Contents/I HATE MODELS/UnknownAlbum,error,error,error
435,"Mina, Bryte, King Doudou",UnknownAlbum,"/Volumes/SANDISK1/Contents/Mina, Bryte, King Doudou/UnknownAlbum",error,error,error
436,Tencent,UnknownAlbum,/Volumes/SANDISK1/Contents/Tencent/UnknownAlbum,error,error,error
438,Ninja Exotic Machine Ft. Yeho,36 Questions,/Volumes/SANDISK1/Contents/Ninja Exotic Machine Ft. Yeho/36 Questions,error,error,error
440,"Brooke Candy, La Zowi, Enzo Langston, Yung Beef,",Dimen5ión,"/Volumes/SANDISK1/Contents/Brooke Candy, La Zowi, Enzo Langston, Yung Beef,/Dimen5ión",error,error,error
441,scopeotaku,4040,/Volumes/SANDISK1/Contents/scopeotaku/4040,error,error,error
442,dstrtdvsn,73 Explore your mind (electro),/Volumes/SANDISK1/Contents/dstrtdvsn/73 Explore your mind (electro),error,error,error
444,xk21,DAAF TRAX 2,/Volumes/SANDISK1/Contents/xk21/DAAF TRAX 2,error,error,error
450,Pluralist,CJAW013_ Pluralist,/Volumes/SANDISK1/Contents/Pluralist/CJAW013_ Pluralist,error,error,error
453,Trev,CoOp Presents_ Plug One,/Volumes/SANDISK1/Contents/Trev/CoOp Presents_ Plug One,error,error,error
456,Luca Lozano x Dawl,Cybernetik Synergy EP,/Volumes/SANDISK1/Contents/Luca Lozano x Dawl/Cybernetik Synergy EP,error,error,error
457,CRAZED (BR),DAAF TRAX 2,/Volumes/SANDISK1/Contents/CRAZED (BR)/DAAF TRAX 2,error,error,error
458,Obzerv,DAAF TRAX 2,/Volumes/SANDISK1/Contents/Obzerv/DAAF TRAX 2,error,error,error
459,Verde,DAAF TRAX 2,/Volumes/SANDISK1/Contents/Verde/DAAF TRAX 2,error,error,error
460,Yermak,DAAF TRAX 2,/Volumes/SANDISK1/Contents/Yermak/DAAF TRAX 2,error,error,error
461,DJ ALYX,UnknownAlbum,/Volumes/SANDISK1/Contents/DJ ALYX/UnknownAlbum,error,error,error
462,rensgo,UnknownAlbum,/Volumes/SANDISK1/Contents/rensgo/UnknownAlbum,error,error,error
463,Shevinkields,DAAF TRAX 2,/Volumes/SANDISK1/Contents/Shevinkields/DAAF TRAX 2,error,error,error
465,Addison Groove,UnknownAlbum,/Volumes/SANDISK1/Contents/Addison Groove/UnknownAlbum,error,error,error
473,CASH FROM HASH,CASH FROM HASH - AXON,/Volumes/SANDISK1/Contents/CASH FROM HASH/CASH FROM HASH - AXON,error,error,error
475,Digiaches,I See White,/Volumes/SANDISK1/Contents/Digiaches/I See White,error,error,error
476,Distro,MOM046_ Distro - Lust _ Liquor,/Volumes/SANDISK1/Contents/Distro/MOM046_ Distro - Lust _ Liquor,error,error,error
478,Mister Bellini,DAAF TRAX 2,/Volumes/SANDISK1/Contents/Mister Bellini/DAAF TRAX 2,error,error,error
479,Mezer,DAAF TRAX 2,/Volumes/SANDISK1/Contents/Mezer/DAAF TRAX 2,error,error,error
480,Skrpump,DAAF TRAX 2,/Volumes/SANDISK1/Contents/Skrpump/DAAF TRAX 2,error,error,error
481,Skrpump,STAY FAST VOL. 1,/Volumes/SANDISK1/Contents/Skrpump/STAY FAST VOL. 1,error,error,error
482,Alxs.f,DAAF TRAX 2,/Volumes/SANDISK1/Contents/Alxs.f/DAAF TRAX 2,error,error,error
483,Parallel Journey,DAAF TRAX 2,/Volumes/SANDISK1/Contents/Parallel Journey/DAAF TRAX 2,error,error,error
484,Lv Amaj,DAAF TRAX 2,/Volumes/SANDISK1/Contents/Lv Amaj/DAAF TRAX 2,error,error,error
486,Kengu,Dj Ibon & Vilde Tuv - Closer EP,/Volumes/SANDISK1/Contents/Kengu/Dj Ibon & Vilde Tuv - Closer EP,error,error,error
487,DJ LUKINHAS ((CALMO)),DJ LUKINHAS - BATEU A QUIMICA [[MTG RAQUEL DOS T,/Volumes/SANDISK1/Contents/DJ LUKINHAS ((CALMO))/DJ LUKINHAS - BATEU A QUIMICA [[MTG RAQUEL DOS T,error,error,error
490,Dubkasm ft Rider Shafique (Egoless remix),Dubkasm ft Rider Shafique - Enter the Gates (Ego,/Volumes/SANDISK1/Contents/Dubkasm ft Rider Shafique (Egoless remix)/Dubkasm ft Rider Shafique - Enter the Gates (Ego,error,error,error
